"services","description","category"
"Active Directory Connector (AD Connector)","Redirect directory requests to your on-premises Microsoft Active Directory","Security, Identity, & Compliance"
"Alexa for Business","Empower your organization with Alexa","Business Applications"
"Amazon API Gateway","Build, deploy, and manage APIs","Front-End Web & Mobile"
"Amazon AppFlow","No-code integration for SaaS apps & AWS services","Application Integration"
"Amazon AppStream 2.0","Stream desktop applications securely to a browser","End User Computing"
"Amazon Athena","Query data in S3 using SQL","Analytics"
"Amazon Athena for Apache Spark","Run interactive analytics on Apache Spark in under a second","Analytics"
"Amazon Augmented AI","Easily implement human review of ML predictions","Machine Learning"
"Amazon Aurora","High performance managed relational database","Databases"
"Amazon Bedrock","Build with foundation models","Machine Learning"
"Amazon Braket","Accelerate quantum computing research","Quantum Technologies"
"Amazon Chime","Frustration-free meetings, video calls, and chat","Business Applications"
"Amazon Chime SDK","Real-time messaging, audio, video, and screen sharing","Business Applications"
"Amazon CloudFront","Global content delivery network","Networking & Content Delivery"
"Amazon CloudSearch","Managed search service","Analytics"
"Amazon CloudWatch","Monitor resources and applications","Management & Governance"
"Amazon CloudWatch Internet Monitor","Visualize your application's global internet health and diagnose issues in minutes, not days","Management & Governance"
"Amazon CodeCatalyst","Unified software development service for faster development and delivery on AWS","Developer Tools"
"Amazon CodeGuru","Find your most expensive lines of code","Machine Learning"
"Amazon CodeWhisperer","Build apps faster with ML-powered coding companion","Machine Learning"
"Amazon Cognito","Identity management for your apps","Security, Identity, & Compliance"
"Amazon Comprehend","Discover insights and relationships in text","Machine Learning"
"Amazon Connect","Omnichannel cloud contact center","Business Applications"
"Amazon Connect Agent Workspace","Resolve contact center customer issues faster and more accurately","Business Applications"
"Amazon Connect Contact Lens","Generate customer call summaries automatically using machine learning","Business Applications"
"Amazon Connect Forecasting, Capacity Planning, and Scheduling","Respond faster to capacity and workforce changes with ML-powered contact center capabilities","Business Applications"
"Amazon Corretto","Production-ready distribution of OpenJDK","Developer Tools"
"Amazon DataZone","Unlock data across organizational boundaries with built-in governance","Analytics"
"Amazon Detective","Investigate potential security issues","Security, Identity, & Compliance"
"Amazon DevOps Guru","ML-powered cloud operations service to improve application availability","Machine Learning"
"Amazon DevOps Guru for RDS","Detect, diagnose, and remediate performance issues in Amazon RDS","Machine Learning"
"Amazon DocumentDB","Fully managed document database","Databases"
"Amazon DynamoDB","Managed NoSQL database","Databases"
